UID,Product ID,Type,Air temperature,Process temperature,Rotational speed,Torque,Tool wear,Machine failure,TWF,HDF,PWF,OSF,RNF,anomaly,anomaly_score
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,1,0.09795654468175857
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,1,0.10448838156897311
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,1,0.08164525016993984
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,1,0.10944543567816523
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,1,0.10315942156502661
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,1,0.11088956714170695
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,1,0.09930175435661182
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,1,0.10557025200044728
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,1,0.073948537973894
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,1,0.05297633822702641
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,1,0.031684670843664
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,1,0.10237836470954903
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,1,0.07135189971225664
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,1,0.04779099815970822
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,-1,-0.027538225270956063
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,1,0.08870200478175788
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,1,0.0647429309623716
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,1,0.0946383252605682
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,1,0.036121143863527716
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,1,0.06481844176611495
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,1,0.07340147244897743
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,1,0.09558250122183654
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,1,0.06373953069550431
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,1,0.02503976019480414
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,1,0.08695695255206742
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,1,0.0028382960645246813
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,1,0.0924849735473725
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,1,0.020417746318945218
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,1,0.08569192578879986
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,1,0.051109471055458267
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,1,0.06601646610964129
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,1,0.025325355506371716
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,1,0.08321832081330172
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,1,0.06202250703956047
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,1,0.08908412221781625
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,1,0.09444898316482281
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,1,0.09076873920912887
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,1,0.10151015229381266
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,1,0.07029925800109116
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,1,0.0641735850984877
